event_id,user_id,event_ts,event_type,attribution_campaign
1,1,2025-01-03 21:34:58,signup,
2,1,2025-01-03 21:34:58,trial_start,
3,1,2025-01-10 21:34:58,trial_end,
4,1,2025-01-10 21:34:58,conversion,
5,1,2025-04-10 21:34:58,cancel,
6,2,2025-04-27 03:56:23,signup,
7,2,2025-04-27 03:56:23,trial_start,
8,2,2025-05-04 03:56:23,trial_end,
9,3,2024-10-22 07:46:40,signup,
10,3,2024-10-22 07:46:40,trial_start,
11,3,2024-10-29 07:46:40,trial_end,
12,4,2025-02-25 13:35:50,signup,
13,4,2025-02-25 13:35:50,trial_start,
14,4,2025-03-04 13:35:50,trial_end,
15,4,2025-03-04 13:35:50,conversion,
16,5,2024-12-25 02:40:58,signup,
17,5,2024-12-25 02:40:58,trial_start,
18,5,2025-01-01 02:40:58,trial_end,
19,5,2025-01-01 02:40:58,conversion,
20,6,2025-03-30 15:11:53,signup,
21,6,2025-03-30 15:11:53,conversion,
22,7,2024-09-13 18:30:05,signup,
23,7,2024-09-13 18:30:05,trial_start,
24,7,2024-09-20 18:30:05,trial_end,
25,7,2024-09-20 18:30:05,conversion,
26,8,2025-02-22 03:49:47,signup,
27,8,2025-02-22 03:49:47,conversion,
28,9,2025-05-30 19:43:38,signup,
29,9,2025-05-30 19:43:38,trial_start,
30,9,2025-06-06 19:43:38,trial_end,
31,9,2025-06-06 19:43:38,conversion,
32,10,2025-03-22 07:22:20,signup,
33,10,2025-03-22 07:22:20,trial_start,
34,10,2025-03-29 07:22:20,trial_end,
35,11,2024-11-29 03:00:40,signup,
36,11,2024-11-29 03:00:40,conversion,
37,12,2025-02-24 05:31:17,signup,
38,12,2025-02-24 05:31:17,trial_start,
39,12,2025-03-03 05:31:17,trial_end,
40,12,2025-03-03 05:31:17,conversion,
41,13,2024-09-28 00:12:33,signup,
42,13,2024-09-28 00:12:33,trial_start,
43,13,2024-10-05 00:12:33,trial_end,
44,13,2024-10-05 00:12:33,conversion,
45,14,2025-03-29 01:18:57,signup,
46,14,2025-03-29 01:18:57,trial_start,
47,14,2025-04-05 01:18:57,trial_end,
48,14,2025-04-05 01:18:57,conversion,
49,15,2025-05-01 04:32:47,signup,
50,15,2025-05-01 04:32:47,conversion,
51,16,2025-04-04 14:25:52,signup,
52,16,2025-04-04 14:25:52,conversion,
53,17,2025-06-28 17:48:20,signup,
54,17,2025-06-28 17:48:20,trial_start,
55,17,2025-07-05 17:48:20,trial_end,
56,17,2025-07-05 17:48:20,conversion,
57,18,2024-11-09 18:40:52,signup,
58,18,2024-11-09 18:40:52,trial_start,
59,18,2024-11-16 18:40:52,trial_end,
60,19,2025-02-15 11:52:13,signup,
61,19,2025-02-15 11:52:13,conversion,
62,20,2025-08-19 04:28:42,signup,
63,20,2025-08-19 04:28:42,trial_start,
64,20,2025-08-26 04:28:42,trial_end,
65,21,2025-01-06 08:58:53,signup,
66,21,2025-01-06 08:58:53,trial_start,
67,21,2025-01-13 08:58:53,trial_end,
68,21,2025-01-13 08:58:53,conversion,
69,22,2025-08-20 11:27:50,signup,
70,22,2025-08-20 11:27:50,conversion,
71,23,2024-12-31 10:02:27,signup,
72,23,2024-12-31 10:02:27,trial_start,
73,23,2025-01-07 10:02:27,trial_end,
74,24,2025-08-05 21:38:56,signup,
75,24,2025-08-05 21:38:56,conversion,
76,25,2025-07-28 17:55:11,signup,
77,25,2025-07-28 17:55:11,trial_start,
78,25,2025-08-04 17:55:11,trial_end,
79,25,2025-08-04 17:55:11,conversion,
80,26,2025-08-27 21:53:43,signup,
81,26,2025-08-27 21:53:43,trial_start,
82,26,2025-09-03 21:53:43,trial_end,
83,26,2025-09-03 21:53:43,conversion,
84,27,2024-09-16 07:01:01,signup,
85,27,2024-09-16 07:01:01,conversion,
86,27,2025-01-16 07:01:01,cancel,
87,28,2024-11-24 08:30:00,signup,
88,28,2024-11-24 08:30:00,conversion,
89,29,2025-06-26 19:09:25,signup,
90,29,2025-06-26 19:09:25,trial_start,
91,29,2025-07-03 19:09:25,trial_end,
92,29,2025-07-03 19:09:25,conversion,
93,30,2025-07-12 21:34:00,signup,
94,30,2025-07-12 21:34:00,trial_start,
95,30,2025-07-19 21:34:00,trial_end,
96,30,2025-07-19 21:34:00,conversion,
97,31,2025-04-27 07:02:47,signup,
98,31,2025-04-27 07:02:47,trial_start,
99,31,2025-05-04 07:02:47,trial_end,
100,32,2024-12-06 19:37:43,signup,
101,32,2024-12-06 19:37:43,trial_start,
102,32,2024-12-13 19:37:43,trial_end,
103,33,2025-05-15 20:28:11,signup,
104,33,2025-05-15 20:28:11,trial_start,
105,33,2025-05-22 20:28:11,trial_end,
106,33,2025-05-22 20:28:11,conversion,
107,34,2025-03-12 05:20:59,signup,
108,34,2025-03-12 05:20:59,conversion,
109,34,2025-05-12 05:20:59,cancel,
110,35,2025-05-17 19:23:50,signup,
111,35,2025-05-17 19:23:50,trial_start,
112,35,2025-05-24 19:23:50,trial_end,
113,35,2025-05-24 19:23:50,conversion,
114,36,2025-02-25 21:12:45,signup,
115,36,2025-02-25 21:12:45,trial_start,
116,36,2025-03-04 21:12:45,trial_end,
117,36,2025-03-04 21:12:45,conversion,
118,37,2024-09-29 16:27:48,signup,
119,37,2024-09-29 16:27:48,trial_start,
120,37,2024-10-06 16:27:48,trial_end,
121,38,2025-03-10 09:11:11,signup,
122,38,2025-03-10 09:11:11,trial_start,
123,38,2025-03-17 09:11:11,trial_end,
124,39,2025-01-27 05:29:11,signup,
125,39,2025-01-27 05:29:11,trial_start,
126,39,2025-02-03 05:29:11,trial_end,
127,39,2025-02-03 05:29:11,conversion,
128,39,2025-05-03 05:29:11,cancel,
129,40,2024-11-27 01:27:45,signup,
130,40,2024-11-27 01:27:45,trial_start,
131,40,2024-12-04 01:27:45,trial_end,
132,40,2024-12-04 01:27:45,conversion,
133,40,2025-04-04 01:27:45,cancel,
134,41,2025-07-25 02:37:38,signup,
135,41,2025-07-25 02:37:38,trial_start,
136,41,2025-08-01 02:37:38,trial_end,
137,41,2025-08-01 02:37:38,conversion,
138,42,2025-08-16 00:18:17,signup,
139,42,2025-08-16 00:18:17,trial_start,
140,42,2025-08-23 00:18:17,trial_end,
141,42,2025-08-23 00:18:17,conversion,
142,43,2025-01-16 02:27:13,signup,
143,43,2025-01-16 02:27:13,trial_start,
144,43,2025-01-23 02:27:13,trial_end,
145,44,2024-09-17 19:31:27,signup,
146,44,2024-09-17 19:31:27,trial_start,
147,44,2024-09-24 19:31:27,trial_end,
148,45,2024-12-16 16:50:34,signup,
149,45,2024-12-16 16:50:34,trial_start,
150,45,2024-12-23 16:50:34,trial_end,
151,45,2024-12-23 16:50:34,conversion,
152,46,2024-09-20 18:04:50,signup,
153,46,2024-09-20 18:04:50,trial_start,
154,46,2024-09-27 18:04:50,trial_end,
155,47,2025-04-21 10:10:46,signup,
156,47,2025-04-21 10:10:46,trial_start,
157,47,2025-04-28 10:10:46,trial_end,
158,47,2025-04-28 10:10:46,conversion,
159,48,2025-04-03 21:53:04,signup,
160,48,2025-04-03 21:53:04,trial_start,
161,48,2025-04-10 21:53:04,trial_end,
162,49,2024-09-22 08:27:43,signup,
163,49,2024-09-22 08:27:43,trial_start,
164,49,2024-09-29 08:27:43,trial_end,
165,50,2024-10-14 05:07:13,signup,
166,50,2024-10-14 05:07:13,trial_start,
167,50,2024-10-21 05:07:13,trial_end,
168,51,2025-01-21 13:29:27,signup,
169,51,2025-01-21 13:29:27,trial_start,
170,51,2025-01-28 13:29:27,trial_end,
171,51,2025-01-28 13:29:27,conversion,
172,51,2025-06-28 13:29:27,cancel,
173,52,2025-04-15 01:18:50,signup,
174,52,2025-04-15 01:18:50,trial_start,
175,52,2025-04-22 01:18:50,trial_end,
176,52,2025-04-22 01:18:50,conversion,
177,52,2025-06-22 01:18:50,cancel,
178,53,2025-05-25 07:43:42,signup,
179,53,2025-05-25 07:43:42,trial_start,
180,53,2025-06-01 07:43:42,trial_end,
181,54,2025-07-11 15:32:05,signup,
182,54,2025-07-11 15:32:05,trial_start,
